No1,Name1,No2,Name2,distance
0 AG,A/SWINE/IOWA/A02479002/2020,1 AG,A/SWINE/CALIFORNIA/A02478680/2019,6.92825825621019
0 AG,A/SWINE/IOWA/A02479002/2020,2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,6.851968830422439
0 AG,A/SWINE/IOWA/A02479002/2020,3 AG,A/SWINE/KANSAS/A02245346/2019,6.359611168732231
0 AG,A/SWINE/IOWA/A02479002/2020,4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,6.926526569822212
0 AG,A/SWINE/IOWA/A02479002/2020,5 AG,A/SWINE/MINNESOTA/A02245409/2020,6.521180481092994
0 AG,A/SWINE/IOWA/A02479002/2020,6 AG,A/SWINE/IOWA/A02479110/2020,6.369660580791713
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,2.3614815047720565
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,3 AG,A/SWINE/KANSAS/A02245346/2019,0.7976708119818883
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,1.2532894225792846
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,5 AG,A/SWINE/MINNESOTA/A02245409/2020,1.6625547964443699
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,6 AG,A/SWINE/IOWA/A02479110/2020,1.5184101973563937
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,3 AG,A/SWINE/KANSAS/A02245346/2019,2.16241464634682
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,2.3987769531243908
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,5 AG,A/SWINE/MINNESOTA/A02245409/2020,1.6827110198014588
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,6 AG,A/SWINE/IOWA/A02479110/2020,1.202302078686903
3 AG,A/SWINE/KANSAS/A02245346/2019,4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,1.7756984396349749
3 AG,A/SWINE/KANSAS/A02245346/2019,5 AG,A/SWINE/MINNESOTA/A02245409/2020,1.0670752745525867
3 AG,A/SWINE/KANSAS/A02245346/2019,6 AG,A/SWINE/IOWA/A02479110/2020,1.042467913300212
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,5 AG,A/SWINE/MINNESOTA/A02245409/2020,2.519378743569469
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,6 AG,A/SWINE/IOWA/A02479110/2020,2.06413199866955
5 AG,A/SWINE/MINNESOTA/A02245409/2020,6 AG,A/SWINE/IOWA/A02479110/2020,0.6523502364822967
0 AG,A/SWINE/IOWA/A02479002/2020,0 SR,A/SWINE/IOWA/A02479002/2020 638,0.18868863651195852
0 AG,A/SWINE/IOWA/A02479002/2020,1 SR,A/SWINE/IOWA/A02479002/2020 639,0.6529496155572845
0 AG,A/SWINE/IOWA/A02479002/2020,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,6.372170871426346
0 AG,A/SWINE/IOWA/A02479002/2020,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,7.487603920908437
